Max Unknown Words,Dataset Length,rb,disco,rock,metal,pop,country,jazz,rap,hiphop,sad
0,31,8,14,1,5,0,0,0,0,0,0
5,185,87,46,7,14,7,1,9,2,1,1
10,677,335,147,37,49,39,2,42,2,1,2
15,1338,627,299,100,112,81,4,78,2,3,4
20,1977,880,434,172,188,132,11,95,2,8,9
25,2581,1089,583,240,256,191,25,110,3,15,17
30,3080,1227,717,311,318,229,46,119,7,24,23
35,3487,1333,816,370,369,271,67,120,9,32,33
40,3837,1407,905,420,412,316,96,121,11,33,42
45,4149,1451,988,461,446,355,129,122,20,46,48
50,4362,1478,1035,485,470,390,154,124,28,52,58
55,4513,1497,1080,508,483,408,162,125,40,60,59
60,4631,1512,1105,532,493,422,171,125,50,66,61
65,4725,1520,1133,544,508,434,171,125,59,73,62
70,4804,1525,1155,551,520,444,174,125,68,79,62
75,4885,1531,1179,556,525,458,175,125,82,86,64
80,4945,1537,1192,561,535,462,178,125,89,90,67
85,4996,1541,1209,563,539,467,180,125,96,95,67
90,5051,1547,1217,564,546,471,181,125,110,103,67
95,5100,1555,1238,565,550,472,181,125,112,105,68
100,5135,1560,1244,566,555,474,181,125,116,108,68
105,5171,1566,1251,569,559,476,181,125,121,110,68
110,5208,1568,1258,572,562,481,181,125,125,114,68
115,5243,1569,1266,573,565,481,181,125,133,120,68
120,5282,1572,1272,573,569,484,181,125,139,125,68
125,5301,1574,1276,573,571,484,181,125,143,125,68
130,5326,1574,1280,574,573,486,181,125,146,128,69
135,5348,1574,1286,575,574,488,181,125,147,128,69
140,5375,1577,1290,576,574,488,181,125,149,130,69
145,5400,1579,1292,576,576,488,181,125,152,133,69
150,5409,1579,1294,576,577,488,181,125,152,133,69
155,5425,1579,1296,576,578,488,181,125,153,134,70
160,5446,1582,1296,577,579,490,181,125,155,136,70
165,5467,1583,1301,577,579,490,182,125,156,137,70
170,5488,1585,1305,577,579,492,182,125,156,137,70
175,5500,1585,1307,577,580,492,182,125,157,138,70
180,5512,1586,1309,577,580,492,182,125,157,138,70
185,5522,1587,1311,578,580,492,183,125,157,138,70
190,5530,1587,1313,578,582,492,183,125,157,138,70
195,5536,1587,1313,578,582,492,183,125,157,138,70
200,5545,1589,1313,578,582,492,183,125,157,139,70
205,5557,1592,1313,579,582,492,184,125,157,139,71
210,5564,1592,1313,579,582,493,184,125,157,139,72
215,5574,1594,1313,579,582,494,184,125,158,140,72
220,5582,1594,1317,579,583,494,185,125,158,140,72
225,5588,1595,1317,579,583,494,185,125,158,140,72
230,5590,1595,1317,579,583,494,186,125,158,141,72
235,5593,1595,1317,579,583,494,186,125,158,141,72
240,5593,1595,1317,579,583,494,186,125,158,141,72
245,5602,1596,1321,579,583,494,186,125,158,141,73
250,5604,1596,1321,579,583,495,187,125,158,141,73
