id,name,popularity,explicit,duration_ms,album_name,album_release_date,artist_names,artist_ids,lyrics
3HHcccQNmP2ZoZabsZOAds,La Romana,56,False,155853,El Viaje,2024-05-17,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,"Perdí un amor (Eh-eh)
Como un idiota la dejé sola
Por eso ahora soy yo quien la llora (No)
Pensando se me pasan las horas (Ay)
Y ahora me estoy tomando la soledad en el mismo bar
En el que nos dimo' el beso que hoy yo vine a buscar
Y hoy no te encontré, baby, contéstame
Me estoy muriendo por besarte otra vez

Ay, dime cómo le hago pa' olvidarme de ella
¿Qué tengo que tomarme pa' olvidar su nombre?
Tan bella como tú ya no hay más y yo soy tuyo na' más
Tú ere' el sueño para cualquiеr hombre
La vida solo es vida cuando estoy contigo
Dilе a tu corazón que no somos amigos
Él sabe que somo' algo más, tú eres la estrella fugaz
Y mi deseo es que vuelva conmigo, que vuelva conmigo (Eh-eh)

Recuerdo cuando la conocí en La Romana
Nos fuimos pa' Samaná
Bailamo' toda la noche y mucha Mamajuana
Pa' que se acuerde de mí, un regalito le di
Y por estúpido, sin ella a Puerto Rico me fui
Y ahora que vuelvo no está, voy a salirla a buscar (Oh-oh, oh-oh)
Quiero volver a vivir eso que me hizo soñar
Con amores
Quiero llenar su vida de flores (Ay)
¿Por qué me haces sufrir? Ay, mujer
Tú dime lo que tengo que hacer (Ay, mujer)
Bebé, ya no me trate' así, ya dime que sí
Y vuelve aquí a mi lado, que me muero por ti (Ey)

Ay, dime cómo le hago pa' olvidarme de ella
¿Qué tengo que tomarme pa' olvidar su nombre?
Tan bella como tú ya no hay más y yo soy tuyo na' más
Tú ere' el sueño para cualquier hombre
La vida solo es vida cuando estoy contigo
Dile a tu corazón que no somos amigos
Él sabe que somo' algo más, tú eres la estrella fugaz
Y mi deseo es que vuelva conmigo, que vuelva conmigo

Oh-oh-oh-oh
Oh-oh-oh-oh
Y mi deseo es que vuelva conmigo, que vuelva conmigo"
3vc8f5AjpzyQKl6aOaOMcK,Sal De Mi Vida,52,False,235500,Sal De Mi Vida,2021-10-22,Daniel Moncion,28UqZQBivOeUSS4k7Nclv5,
3Zf4GutWZ7Hv3wsVQsSQPs,BEBÉ,74,False,197284,Mis Manos,2021-03-04,"Camilo, El Alfa","28gNT5KBp7IjEOQoevXf9N, 2oQX8QiMXOyuqbcZEFsZfm","Un, dos, tres y

El la'o de tu cama que estaba caliente se está congelando
Miro el teléfono y toda' tus foto' me están torturando
No te olvido todavía, ¿quién te dijo esa mentira?
Sabes que yo no te olvido
Yo no quiero alas pa' volar a otro lugar
Yo solamente quiero estar contigo

Dime ya por qué, eh-eh
Dime por qué te fuiste, dímelo, bebé
Dime ya por qué, eh-eh
¿Por qué no me llamas? ¿Es que no me extrañas?
Dime por qué, eh-eh
Dime por qué te fuiste, dímelo, bebé
Dime ya por qué, eh-eh
¿Por qué no me llamas? ¿Es que no me extrañas, bebé?

Yah (¡Wuh!)
Mami, no te vaya', tú ere' mi tesoro
Sin ti yo no vivo, mi amor, yo no como
A mis amigo' en la calle no le' hago coro
Yo llego volando a'onde ti, no demoro
Dámelo hoy, no me diga' tomorrow
Esa caderita y tu cuerpo devoro
Tú ere' mi perla, diamante y tesoro
Lo que yo má' amo en el mundo y no e' coro
Sí, 'toy loco por volver a tenerte
Sí, mi cama dice que eres mi suerte
Sí, la única que me ama y no e' por lo que tengo
Hay algo tuyo que se viene 'onde mí, pero no me detengo

Dime ya por qué, eh-eh
Dime por qué te fuiste, dímelo, bebé
Dime ya por qué, eh-eh
¿Por qué no me llamas? ¿Es que no me extrañas?
Dime por qué, eh-eh (¿Por qué te fuiste?)
Dime por qué te fuiste, dímelo, bebé (No te me vayas)
Dime ya por qué, eh-eh (No, baby)
¿Por qué no me llamas? ¿Es que no me extrañas, bebé?

Yo sé que esa boca tuya
Solo quiere con la mía
Solo queda tu recuerdo
Pa' arroparme noche y día
Yo sé que esa boca tuya
Solo quiere con la mía
Una vida sin tus beso'
Yo no sé cómo sería

Dime ya por qué, eh-eh
Dime por qué te fuiste, dímelo, bebé
Dime ya por qué, eh-eh
¿Por qué no me llamas? ¿Es que no me extrañas?
Dime por qué, eh-eh
Dime por qué te fuiste, dímelo, bebé
Dime ya por qué, eh-eh
¿Por qué no me llamas? ¿Es que no me extrañas, bebé?

Yah
Dime por qué
Camilo
Dime por qué te fuiste
El Alfa
Báilame, mami
Baila, mami (Baila)
Pegaíto'"
5YZr4BxMbWHBDv8HghJQRJ,Mujeriego,42,False,211567,Mujeriego,2025-03-21,"Tony Lozano, Antonimusic, DerekVinci, El Tiguere, Belen","3BcUTcUB24CvdeMUho68m4, 57wW3jmkYPARPBLraePqTm, 7du7SizqDeaP96ds19p1yu, 1noUS4B84xt3nMpTIRgV8F, 5zocvwXTEiIrmsGZiBuTAh",
0u4N6w5lBw5xMrzJitRWUo,Corazón Sin Cara,75,False,211453,Prince Royce,2010,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,"Royce

Y ya me contaron
Que te acomplejas de tu imagen
Y mira el espejo
Qué linda eres sin maquillaje

Y si eres gorda o flaca
Todo eso no me importa a mí
Y tampoco soy perfecto
Solo sé que yo te quiero así

Y el corazón no tiene cara
Y te prometo que lo nuestro nunca va a terminar
Y el amor vive en el alma
Ni con un deseo sabes que nada de ti va a cambiar

Prende una vela, rézale a Dios
Y dale gracias que tenemos ese lindo corazón
Prende una vela, pide perdón
Y por creer que tú eres fea te dedico esta canción

Si eres gorda o flaca
Todo eso no me importa a mí
Y tampoco soy perfecto
Solo sé que yo te quiero así, oh, woah

Ladies, haha
You already know
Royce
Too strong

Y si eres gorda o flaca
Todo eso no me importa a mí
Tampoco soy perfecto
Solo sé que yo te quiero así

Y el corazón (Y el corazón) no tiene cara (No tiene cara)
Y te prometo que lo nuestro nunca va a terminar
Y el amor vive en el alma (Woah)
Ni con un deseo sabes que nada de ti va a cambiar
Nadie es perfecto en el amor (En el amor)
Ay, seas blanquita o morenita, no me importa el color
Mírame a mí (Mírame a mí), mírame bien (Mírame bien)
Aunque tenga cara de bonito, me acomplejo yo también

Y si eres gorda o flaca
Todo eso no me importa a mí
Tampoco soy perfecto
Solo sé que yo te quiero así

Sentimiento, come on

Y el corazón (Y el corazón) no tiene cara (No, no, no)
Y te prometo que lo nuestro nunca va a terminar
Y el amor (Y el amor) vive en el alma
Ni con un deseo sabes que nada de ti va a cambiar, ah-ah

Sincerely
Royce"
6YVmesWTcsSgy91tNWreLi,Autodiagnóstico,46,False,196500,Autodiagnóstico,2025-02-27,Rau,7vOc2lSKE0icwRLbSvbY0h,
0VazBorrrrE0vlacDVRQCx,Brindo Con Agua,65,False,281082,Brindo Con Agua,2024-04-02,Aventura,1qto4hHid1P71emI6Fd8xi,"Henry, soy todo oídos

Oye, primo mío, gracias por escuchar
Todos los problemas que al fin yo he creado
Por estar de machista mi mujer me ha dejado
Y ahogado en el licor, sin sentido, como un loco
Por el romo y las dudas que me envuelven poco a poco
Y mi familia he destrozado
Siempre cuando bebo me creo Superman
Y quiero que en mi casa todo se haga a mi manera
Yo llegué bien borracho una noche cualquiera
Y delante de mis hijos agarré a mi mujer
Contra el piso la tiré y con temor me gritaba
Que a ella no le pegara y ahí mi mano levanté

Pero no, no me quiero ni recordar
De aquella noche cuando me atreví a pecar
Y a mis niños el ejemplo que les daba
Cuan cobarde y sin clemencia yo a su madre maltrataba

Me arrepiento y perdón le pido a Dios
Soy causante de los actos y de mi error
Quedé solo, ¿y cómo borro esas palabras?
""Papi, oye, ¿por qué le pegas, si ella a ti no ha hecho nada?

Another night, another problem, ¿cómo vas a permitir
Que ese whisky por tus venas te afecte así? (Ay, ay, ay, ay)
There's no denying que el dilema es la botella (Ay, ay, ay, ay)
The kids are crying, dime qué dirán de ti (Ay, ay, ay, ay)
Your wifey loves you, no te pone una querella (Ay, ay, ay, ay)
Y en tus manos una noche va a morir

Primo mío, me avergüenzo
Brindo con agua por mi condena

It's your favorite group, baby
The Kings
Yessir
Yo, Mikey
Funk, funk

Me arrepiento y perdón le pido a Dios (Ah-ah-ah-ah)
Soy causante de los actos y de mi error (Ah-ah-ah)
Quedé solo, ¿y cómo borro esas palabras? (Ah)
""Papi, oye, ¿por qué le pegas, si ella a ti no ha hecho nada?

Another night, another problem, ¿cómo vas a permitir
Que ese whisky por tus venas te afecte así? (Ay, ay, ay, ay)
There's no denying que el dilema es la botella (Ay, ay, ay, ay)
The kids are crying, dime qué dirán de ti (Ay, ay, ay, ay)
Your wifey loves you, no te pone una querella (Ay, ay, ay, ay)
Y en tus manos una noche va a morir
Another night, another problem, ¿cómo vas a permitir
Que ese whisky por tus venas te afecte así?
There's no denying que el dilema es la botella (Ay, ay, ay, ay)
The kids are crying, dime qué dirán de ti (Ay, ay, ay, ay)
Your wifey loves you, no te pone una querella (Ay, ay, ay, ay)
Y en tus manos una noche va a morir (Ay, ay, ay, ay)

Playboy
Llora, guitarra
Llora
Aventura"
2t5oTnYwmne6h22qvqzYbW,Adrenalina,51,False,182857,Adrenalina,2025-02-28,"Dj Husky, Charles Luis","7KpJV35QbeZ1ZCn34bnypL, 6leJUISW6JxYObU2SBgXLf",
6r46lnXFbE9fr2d3KNaGbe,Imitadora,79,False,234828,Golden,2017-07-21,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,"Hey
Who are you?

Mi memoria ha conservado lo que se ha llevado el viento
Y yo estoy estancado en esos tiempos
Cuando tú me amabas y con gran fulgor sentía tus besos
Dime, quítame esta duda
¿Quién es esta extraña que se ha apoderado de tu ser?
¿Dónde está la amante loca que me erizaba la piel?
Porque ya tú no me tocas como lo hacía esa mujer
Algo no anda bien
Escucha las palabras de Romeo

Esta noche me hago el interrogante
Y le pongo fin a la impostora, usurpadora
Exijo contigo una entrevista
Sospecho plagio a mi señora, mala imitadora
Dime, tengo unas preguntas
¿Dónde fue bajo la lluvia que te di ese primer beso?
Dime también, relátame el momento
Número de alojamiento donde yo te hice mujer
Confírmame
¿Qué me enciende en el sexo?
¿Qué me encanta de tu cuerpo?
Nuestra primera aventura
Quiero detalles
¿Será el cuello o el ombliguito tu punto favorito?
Porque yo sí sé cual es
Si en verdad eres la original, demuéstramelo ahora

Esta noche me hago el interrogante
Y le pongo fin a la impostora, usurpadora
Exijo contigo una entrevista
Sospecho plagio a mi señora, mala imitadora
Dime, tengo unas preguntas
¿Dónde fue bajo la lluvia que te di ese primer beso?
Dime también, relátame el momento
Número de alojamiento donde yo te hice mujer
Confírmame
¿Qué me enciende en el sexo?
¿Qué me encanta de tu cuerpo?
Nuestra primer aventura
Quiero detalles
¿Será el cuello o el ombliguito
Tu punto favorito?
Porque yo sí sé cual es
Mmm, si en verdad eres la original, demuéstramelo ahora

Tú no era' así cuando te conocí
The king

Tell me where she's at?
¿Quién es esta imitadora hoy en su lugar?
Tell me where she's at?
Yo la extraño ¿a dónde se me perdió?
Tell me where she's at?
Que regrese mi amada porque tú, no eres tú"
7nM3k9m2cIcJMtHILXjRUR,EL COLMADON,49,False,223432,EL COLMADON,2025-01-10,Prophex,4QeD9XFoPEHht1Mj8InACT,
